Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_
executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(cpuscreen_171)'
, 'walk_executor(shower_36)', 'walk_executor(sink_42)', 'walk_executor(soap_2053)', 'grab_executor(s
oap_2053)', 'walk_executor(sink_42)', 'putin_executor(soap_2053, sink_42)']","Time consume: 139 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'walk_executor(sink_231)', 'walk_executor(cleaning_solution_2073)', 'grab
_executor(cleaning_solution_2073)', 'walk_executor(sink_42)', 'scrub_executor(sink_42)']","Time consume: 30 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(couch_352)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_control_205
2)', 'walk_executor(dvd_player_2061)', 'plugin_executor(dvd_player_2061)', 'close_executor(dvd_playe
r_2061) (Failed)', 'switchon_executor(dvd_player_2061)']","Time consume: 73 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(closetdrawer_120)', 'walk_executor(wallshelf_235)', 'walk_executor(coffee_table_2068
)', 'walk_executor(desk_104)', 'walk_executor(dvd_player_2061)', 'open_executor(dvd_player_2061)', '
walk_executor(headset_2076)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'plugin
_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)']","Time consume: 218 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(sink_42)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk
_executor(soap_2053)', 'grab_executor(soap_2053)', 'walk_executor(dishwasher_1001)', 'putin_executor
(soap_2053, dishwasher_1001)', 'walk_executor(cupboard_229)', 'walk_executor(toaster_292)', 'walk_ex
ecutor(tvstand_225)', 'walk_executor(cup_2064)', 'walk_executor(table_226)', 'walk_executor(bowl_207
1)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwa
sher_1001)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)
', 'putin_executor(bowl_2072, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(coffee_t
able_2068)', 'walk_executor(bench_227)', 'walk_executor(cup_2063)', 'walk_executor(fryingpan_2083)',
 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor
(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_1001)'
, 'switchon_executor(dishwasher_1001)']","Time consume: 360 seconds
Exp_helper query times: 2",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(coffee_table_206
8)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_23
0)', 'walk_executor(bench_227)', 'walk_executor(oil_2079)', 'walk_executor(table_226)', 'walk_execut
or(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2
071, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_
2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'close_execu
tor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(fork_2080)', 'wash_execu
tor(fork_2080)', 'walk_executor(fork_2081)', 'wash_executor(fork_2081)']","Time consume: 407 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.4375
Action Completion Rate: 1.0",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(coffee_table_206
8)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_22
9)', 'walk_executor(bench_227)', 'walk_executor(fryingpan_2083)', 'walk_executor(table_226)', 'walk_
executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(
bowl_2071, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(bowl_2072)', 'grab_executor
(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'walk_
executor(table_226)', 'walk_executor(tray_296)', 'walk_executor(toaster_292)', 'walk_executor(fork_2
081)', 'walk_executor(microwave_297)', 'switchoff_executor(microwave_297)', 'open_executor(microwave
_297)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_e
xecutor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher
_1001)', 'switchon_executor(dishwasher_1001)']","Time consume: 308 seconds
Exp_helper query times: 2",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(coffee_table_2068)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_con
trol_2052)', 'walk_executor(television_248)', 'switchon_executor(television_248)']","Time consume: 72 seconds
Exp_helper query times: 0",Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)', 'standup_executor(char) (Failed)']","Time consume: 117 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'wa
lk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)']","Time consume: 152 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
