Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_breakfast/g4.txt,"Make chicken pasta, put it in a plate.","['walk_executor(kitchen_counter_122)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)',
 'walk_executor(cupboard_117)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open
_executor(fridge_126)', 'walk_executor(pot_78)', 'walk_executor(kitchen_counter_119)', 'walk_executo
r(food_food_1000)', 'walk_executor(table_114)', 'walk_executor(pot_2138)', 'open_executor(pot_2138)'
, 'walk_executor(dry_pasta_2114)', 'grab_executor(dry_pasta_2114)', 'walk_executor(pot_2138)', 'puti
n_executor(dry_pasta_2114, pot_2138)', 'grab_executor(pot_2138)', 'walk_executor(faucet_20)', 'switc
hon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(food_chicken_2089)', 'grab
_executor(food_chicken_2089)', 'walk_executor(fryingpan_2154)', 'putin_executor(food_chicken_2089, f
ryingpan_2154)', 'walk_executor(stove_2135)', 'switchon_executor(stove_2135)', 'put_executor(pot_213
8, stove_2135)', 'walk_executor(fryingpan_2154)', 'grab_executor(fryingpan_2154)', 'walk_executor(st
ove_2135)', 'put_executor(fryingpan_2154, stove_2135)', 'walk_executor(food_chicken_2089)', 'grab_ex
ecutor(food_chicken_2089)', 'walk_executor(pot_2138)', 'putin_executor(food_chicken_2089, pot_2138)'
, 'grab_executor(pot_2138)', 'walk_executor(plate_2152)', 'put_executor(pot_2138, plate_2152)']","Time consume: 192 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 8 steps
Keystate: k3 - Requires: 8 steps
Keystate: k4 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Listen_to_music/g2.txt,Syntax Error,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
grab_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)', 'plugin_executor(dvd_player_2
061)', 'switchon_executor(dvd_player_2061)']","Time consume: 164 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/make_up_bed/g3.txt,Prepare a cup of water on the nightstand.,"['walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_executor(nightstand_102)', 
'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'wash_executor(cup_2063)', 'grab_ex
ecutor(cup_2063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(f
aucet_43)', 'walk_executor(nightstand_100)', 'put_executor(cup_2063, nightstand_100)', 'walk_executo
r(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)',
 'walk_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(nightstand_100)', 'put_
executor(cup_2063, nightstand_100)', 'grab_executor(cup_2063)', 'put_executor(cup_2063, nightstand_1
00)', 'grab_executor(cup_2063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switch
off_executor(faucet_43)', 'walk_executor(nightstand_100)', 'put_executor(cup_2063, nightstand_100)']","Time consume: 180 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g1.txt,Turn on the cd player.,"['walk_executor(computer_170)', 'walk_executor(coffee_table_2068)', 'walk_executor(book_2067)', 'ope
n_executor(book_2067)', 'walk_executor(cpuscreen_171)', 'walk_executor(computer_417)', 'walk_executo
r(keyboard_168)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'plugin_executor(cd
_player_2060)', 'switchon_executor(cd_player_2060)']","Time consume: 41 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Syntax Error,"['walk_executor(bed_105)', 'walk_executor(bathtub_30)', 'walk_executor(bed_105)', 'walk_executor(bat
htub_30)']","Time consume: 75 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,['walk_executor(bathtub_297)'],"Time consume: 63 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(kitchen_counter_132)', 'walk_executor(kitchen_counter_128)', 'walk_executor(food_chicken_205
0)', 'grab_executor(food_chicken_2050)', 'walk_executor(cutting_board_2080)', 'put_executor(food_chi
cken_2050, cutting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(bathroom_cabinet_305
)', 'open_executor(bathroom_cabinet_305)', 'walk_executor(wallshelf_301)', 'walk_executor(table_193)
', 'walk_executor(kitchen_counter_129)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_
143)', 'grab_executor(knife_2036)', 'walk_executor(food_chicken_2050)', 'cut_executor(food_chicken_2
050)', 'grab_executor(food_chicken_2050)', 'walk_executor(fridge_140)', 'putin_executor(food_chicken
_2050, fridge_140)', 'close_executor(fridge_140)']","Time consume: 76 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 1",1,Scene_id: 2
cdl_dataset/dataset/Pet_cat/g3.txt,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat put it on the
 table.","['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_
executor(kitchen_counter_122)']","Time consume: 105 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Change_TV_channel/g3.txt,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)', 'standup_executor(char) (Failed)', 'walk_e
xecutor(television_248)', 'switchon_executor(television_248)']","Time consume: 65 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g3.txt,Syntax Error,[],"Time consume: 43 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1","Keystate: k1 - Requires: 15 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_19)', 'wipe_executor(sink_19) (Failed)', 'walk_executor(faucet_20)', 'switchon_
executor(faucet_20)', 'walk_executor(sink_19)', 'wash_executor(sink_19)', 'walk_executor(faucet_20)'
, 'switchoff_executor(faucet_20)']","Time consume: 30 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(dining_room_1)', 'walk_executor(home_office_161)', 'walk_executor(bedroom_220)', 'wa
lk_executor(bathroom_265)', 'walk_executor(bedroom_327)', 'walk_executor(light_49)', 'switchon_execu
tor(light_49)', 'walk_executor(light_217)', 'switchon_executor(light_217)', 'walk_executor(light_258
)', 'switchon_executor(light_258)', 'walk_executor(light_325)', 'switchon_executor(light_325)', 'wal
k_executor(light_384)', 'switchon_executor(light_384)']","Time consume: 72 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4",1,Scene_id: 2
