Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_188)', 'open_executor(bookshelf_188)', 'walk_executor(bookshelf_189)', 'op
en_executor(bookshelf_189)', 'walk_executor(bookshelf_189)', 'walk_executor(bookshelf_189)', 'walk_e
xecutor(bookshelf_188)', 'open_executor(bookshelf_188) (Failed)', 'walk_executor(bookshelf_188)', 'o
pen_executor(bookshelf_188) (Failed)', 'walk_executor(bookshelf_188)', 'open_executor(bookshelf_188)
 (Failed)', 'walk_executor(bookshelf_188)', 'open_executor(bookshelf_188) (Failed)', 'walk_executor(
bookshelf_188)', 'open_executor(bookshelf_188) (Failed)', 'walk_executor(bookshelf_189)', 'walk_exec
utor(bookshelf_189)', 'open_executor(bookshelf_189) (Failed)', 'walk_executor(bookshelf_189)', 'open
_executor(bookshelf_189) (Failed)', 'walk_executor(dining_room_1)', 'walk_executor(bookshelf_136)', 
'grab_executor(book_2091)', 'walk_executor(home_office_161)', 'walk_executor(coffe_maker_147)', 'put
_executor(book_2091, coffe_maker_147)', 'walk_executor(window_181)', 'open_executor(window_181)']","Time consume: 220 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 29
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,Put cleaning solution in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(cupboard_130)', 'walk_
executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'walk_executor(cupboard_130)', 'walk_exe
cutor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(kitchen_counter_132)', 
'walk_executor(cupboard_130)', 'walk_executor(cupboard_130)', 'walk_executor(cupboard_130)', 'open_e
xecutor(cupboard_130) (Failed)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143) (Fa
iled)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143) (Failed)', 'walk_executor(cu
pboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(
cupboard_131) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'wal
k_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(cupboard_131)', 'o
pen_executor(cupboard_131) (Failed)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143
) (Failed)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143) (Failed)', 'walk_execut
or(dishwasher_143)', 'close_executor(dishwasher_143)', 'switchon_executor(dishwasher_143)']","Time consume: 253 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 34
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 20 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Listen_to_music/g1.txt,Insert a CD and play music using the CD player.,"['walk_executor(dining_room_1)', 'walk_executor(tvstand_135)', 'grab_executor(cd_player_2084)', 'wal
k_executor(coffe_maker_147)', 'walk_executor(coffe_maker_147)', 'put_executor(cd_player_2084, tvstan
d_135) (Failed)', 'put_executor(cd_player_2084, tvstand_135) (Failed)', 'walk_executor(tvstand_135)'
, 'put_executor(cd_player_2084, tvstand_135)', 'plugin_executor(cd_player_2084)', 'switchon_executor
(cd_player_2084)']","Time consume: 101 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 11
","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Pet_cat/g2.txt,Syntax Error,"['walk_executor(dining_room_1)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk
_executor(kitchen_counter_132)', 'walk_executor(knifeblock_52)', 'walk_executor(kitchen_counter_128)
', 'walk_executor(cupboard_130)', 'open_executor(cupboard_130) (Failed)', 'walk_executor(cupboard_13
1)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_
131) (Failed)', 'walk_executor(cupboard_130)', 'walk_executor(cupboard_131)', 'open_executor(cupboar
d_131) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_execu
tor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_executor(food
_chicken_2050)', 'walk_executor(kitchen_counter_128)', 'put_executor(food_chicken_2050, cutting_boar
d_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(knifeblock_52)', 'walk_executor(dishwasher_
143)', 'open_executor(dishwasher_143)', 'grab_executor(knife_2036)', 'walk_executor(kitchen_counter_
128)', 'cut_executor(food_chicken_2050) (Failed)', 'cut_executor(food_chicken_2050) (Failed)', 'walk
_executor(kitchen_counter_128)', 'cut_executor(food_chicken_2050) (Failed)', 'cut_executor(food_chic
ken_2050) (Failed)', 'cut_executor(food_chicken_2050) (Failed)', 'walk_executor(kitchen_counter_128)
', 'grab_executor(food_chicken_2050) (Failed)', 'cut_executor(food_chicken_2050) (Failed)', 'cut_exe
cutor(food_chicken_2050) (Failed)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143) 
(Failed)', 'cut_executor(food_chicken_2050) (Failed)', 'cut_executor(food_chicken_2050) (Failed)', '
walk_executor(kitchen_counter_128)', 'cut_executor(food_chicken_2050) (Failed)', 'walk_executor(kitc
hen_counter_128)', 'cut_executor(food_chicken_2050) (Failed)', 'cut_executor(food_chicken_2050) (Fai
led)', 'cut_executor(food_chicken_2050) (Failed)', 'walk_executor(kitchen_counter_128)', 'grab_execu
tor(food_chicken_2050) (Failed)', 'cut_executor(food_chicken_2050) (Failed)', 'cut_executor(food_chi
cken_2050) (Failed)', 'walk_executor(kitchen_counter_128)', 'cut_executor(food_chicken_2050) (Failed
)', 'walk_executor(cutting_board_2080)', 'cut_executor(food_chicken_2050)', 'grab_executor(food_chic
ken_2050)', 'walk_executor(kitchen_counter_128)', 'put_executor(food_chicken_2050, cutting_board_208
0)', 'cut_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)']","Time consume: 407 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 62
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Drink/g1.txt,Syntax Error,"['walk_executor(sink_133)', 'walk_executor(kitchen_counter_132)', 'grab_executor(pot_54)', 'walk_exe
cutor(faucet_134)', 'switchon_executor(faucet_134) (Failed)', 'put_executor(pot_54, kitchen_counter_
132)', 'walk_executor(cupboard_130)', 'open_executor(cupboard_130) (Failed)', 'walk_executor(kitchen
_counter_128)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'grab_executor(tea_bag
_2017) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_execu
tor(sink_133)', 'grab_executor(pot_54)', 'walk_executor(cupboard_131)', 'put_executor(pot_54, cupboa
rd_131)', 'walk_executor(sink_133)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Fa
iled)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(cupboa
rd_131)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupb
oard_131) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_ex
ecutor(cupboard_130)', 'walk_executor(kitchen_counter_128)', 'walk_executor(kitchen_counter_129)', '
walk_executor(dishwasher_143)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)
', 'walk_executor(kitchen_counter_132)', 'walk_executor(sink_133)', 'grab_executor(cleaning_solution
_2098)', 'walk_executor(kitchen_counter_132)', 'put_executor(cleaning_solution_2098, kitchen_counter
_132)', 'grab_executor(juice_2034) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupboard
_131) (Failed)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_execut
or(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(cupboard_131)', 'open_exec
utor(cupboard_131) (Failed)', 'walk_executor(sink_133)', 'grab_executor(pot_54)', 'walk_executor(fau
cet_134)', 'switchon_executor(faucet_134) (Failed)', 'walk_executor(kitchen_counter_132)', 'walk_exe
cutor(cupboard_130)', 'walk_executor(fridge_140)', 'open_executor(fridge_140) (Failed)', 'walk_execu
tor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_executor(home
_office_161)', 'walk_executor(floor_24)']","Time consume: 253 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 62
",Action Completion Rate: 0.0,Scene_id: 2
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(food_ice_cream_2058)', 'grab_executor(food_ice_cream_2058)', 'walk_executor(food_jam_2059)',
 'grab_executor(food_jam_2059)', 'walk_executor(kitchen_counter_129)', 'put_executor(food_jam_2059, 
kitchen_counter_129)', 'put_executor(food_ice_cream_2058, kitchen_counter_129)', 'walk_executor(dini
ng_room_1)', 'walk_executor(table_127)', 'grab_executor(bowl_2096)', 'walk_executor(kitchen_counter_
129)', 'grab_executor(food_ice_cream_2058)', 'putin_executor(food_ice_cream_2058, bowl_2096)', 'grab
_executor(food_jam_2059)', 'putin_executor(food_jam_2059, bowl_2096)']","Time consume: 92 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 18
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Wash_clothes/g2.txt,Wash all the clothes in the basket for clothes by adding soap to the washing machine and running it.,"['walk_executor(basket_for_clothes_2040)', 'walk_executor(washing_machine_2041)', 'open_executor(was
hing_machine_2041)', 'walk_executor(basket_for_clothes_2040)', 'grab_executor(clothes_socks_2115)', 
'walk_executor(washing_machine_2041)', 'putin_executor(clothes_socks_2115, washing_machine_2041)', '
walk_executor(basket_for_clothes_2040)', 'grab_executor(clothes_pants_2113)', 'walk_executor(washing
_machine_2041)', 'putin_executor(clothes_pants_2113, washing_machine_2041)', 'walk_executor(basket_f
or_clothes_2040)', 'grab_executor(clothes_shirt_2114)', 'walk_executor(washing_machine_2041)', 'puti
n_executor(clothes_shirt_2114, washing_machine_2041)', 'walk_executor(basket_for_clothes_2040)', 'gr
ab_executor(clothes_skirt_2116)', 'walk_executor(washing_machine_2041)', 'putin_executor(clothes_ski
rt_2116, washing_machine_2041)', 'walk_executor(bathroom_cabinet_305)', 'open_executor(bathroom_cabi
net_305)', 'grab_executor(soap_2038)', 'walk_executor(washing_machine_2041)', 'putin_executor(soap_2
038, washing_machine_2041)', 'close_executor(washing_machine_2041)', 'plugin_executor(washing_machin
e_2041)', 'switchon_executor(washing_machine_2041)']","Time consume: 83 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 27
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Syntax Error,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_egg_2053)', 'close_executor(fridge_140)', 'switchon_executor(fridge_140)', 'walk_execut
or(sink_133)', 'open_executor(faucet_134) (Failed)', 'walk_executor(pot_54)', 'grab_executor(pot_54)
', 'putin_executor(food_egg_2053, pot_54) (Failed)', 'walk_executor(sink_133)', 'put_executor(pot_54
, kitchen_counter_132)', 'put_executor(food_egg_2053, kitchen_counter_132)', 'walk_executor(sink_133
)', 'grab_executor(pot_54)', 'putin_executor(pot_54, sink_133)', 'grab_executor(food_egg_2053)', 'wa
lk_executor(stove_2090)', 'put_executor(pot_54, stove_2090) (Failed)', 'walk_executor(sink_133)', 'g
rab_executor(pot_54)', 'putin_executor(pot_54, sink_133)', 'walk_executor(faucet_134)', 'switchon_ex
ecutor(faucet_134) (Failed)', 'walk_executor(pot_54)', 'grab_executor(pot_54)', 'walk_executor(fauce
t_134)', 'put_executor(pot_54, faucet_134)']","Time consume: 101 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 29
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Cook_some_food/g4.txt,Syntax Error,"['walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(pot_54)', 'grab_execut
or(pot_54)', 'walk_executor(faucet_134)', 'switchon_executor(faucet_134) (Failed)', 'walk_executor(k
itchen_counter_132)', 'walk_executor(cupboard_130)', 'walk_executor(fridge_140)', 'switchoff_executo
r(fridge_140)', 'open_executor(fridge_140)', 'grab_executor(food_vegetable_2072)', 'walk_executor(ki
tchen_counter_132)', 'open_executor(pot_54) (Failed)', 'walk_executor(sink_133)', 'open_executor(fau
cet_134) (Failed)', 'walk_executor(sink_133)', 'putin_executor(pot_54, sink_133)', 'wash_executor(po
t_54)', 'walk_executor(faucet_134)', 'switchon_executor(faucet_134) (Failed)', 'walk_executor(kitche
n_counter_132)', 'grab_executor(pot_54)', 'walk_executor(faucet_134)', 'walk_executor(stove_2090)', 
'put_executor(pot_54, stove_2090)', 'walk_executor(food_vegetable_2072)', 'putin_executor(food_veget
able_2072, pot_54) (Failed)', 'putin_executor(food_vegetable_2072, pot_54) (Failed)', 'walk_executor
(sink_133)', 'putin_executor(food_vegetable_2072, sink_133)', 'wash_executor(food_vegetable_2072)', 
'grab_executor(food_vegetable_2072)', 'walk_executor(stove_2090)', 'putin_executor(food_vegetable_20
72, pot_54) (Failed)', 'walk_executor(faucet_134)', 'switchon_executor(faucet_134) (Failed)', 'walk_
executor(sink_133)', 'grab_executor(pot_54)', 'walk_executor(faucet_134)', 'put_executor(pot_54, fau
cet_134)', 'walk_executor(stove_2090)', 'switchon_executor(stove_2090)', 'walk_executor(food_vegetab
le_2072)', 'walk_executor(faucet_134)', 'grab_executor(pot_54)', 'walk_executor(sink_133)']","Time consume: 428 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 47
","Keystate: k1 - Requires: 9 steps
Keystate: k2 - Requires: 12 steps
Keystate: k3 - Requires: 8 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Cook_some_food/g1.txt,Boil vegetables with a pot on the stove.,"['walk_executor(cupboard_130)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_
executor(fridge_140)', 'open_executor(fridge_140) (Failed)', 'walk_executor(cupboard_130)', 'grab_ex
ecutor(pot_54)', 'walk_executor(faucet_134)', 'switchon_executor(faucet_134) (Failed)', 'walk_execut
or(cupboard_131)', 'open_executor(cupboard_131) (Failed)', 'walk_executor(faucet_134)', 'switchon_ex
ecutor(faucet_134) (Failed)', 'walk_executor(kitchen_counter_129)', 'walk_executor(stove_2090)', 'op
en_executor(pot_54)', 'put_executor(pot_54, stove_2090)', 'switchon_executor(stove_2090)']","Time consume: 92 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 18
","Keystate: k1 - Requires: 20 steps
Keystate: k2 - Requires: 13 steps
Action Completion Rate: 0.0",Scene_id: 2
