Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_breakfast/g4.txt,Syntax Error,['walk_executor(stove_2090)'],"Time consume: 50 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 14 steps
Keystate: k2 - Requires: 15 steps
Keystate: k3 - Requires: 11 steps
Keystate: k4 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Listen_to_music/g2.txt,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
walk_executor(dvd_player_2061)', 'plugin_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2
061)']","Time consume: 23 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/make_up_bed/g3.txt,Prepare a cup of water on the nightstand.,"['walk_executor(nightstand_102)', 'walk_executor(coffee_table_2068)', 'walk_executor(table_226)', 'w
alk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_exec
utor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(ni
ghtstand_102)', 'put_executor(cup_2063, nightstand_102)']","Time consume: 54 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g1.txt,Turn on the cd player.,"['walk_executor(coffee_table_2068)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 
'open_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', 'close_executor(cd_player_2060)'
, 'switchon_executor(cd_player_2060)']","Time consume: 25 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,['walk_executor(bathtub_30)'],"Time consume: 184 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 0","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,"['walk_executor(bed_376)', 'walk_executor(bed_264)', 'walk_executor(bathtub_297)', 'walk_executor(ph
otoframe_246)', 'walk_executor(bench_125)', 'walk_executor(shower_303)', 'walk_executor(couch_192)',
 'walk_executor(cat_2082)', 'walk_executor(couch_192)', 'walk_executor(cat_2082)', 'grab_executor(ca
t_2082)', 'walk_executor(bathtub_297)', 'put_executor(cat_2082, bathtub_297)', 'wash_executor(cat_20
82)', 'walk_executor(towel_rack_300)', 'walk_executor(towel_rack_299)', 'walk_executor(bathroom_coun
ter_306)', 'walk_executor(towel_rack_298)', 'walk_executor(towel_2083)', 'grab_executor(towel_2083)'
, 'walk_executor(cat_2082)', 'wipe_executor(cat_2082)']","Time consume: 128 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 3 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 1.0",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(kitchen_counter_128)', 'walk_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)
', 'walk_executor(cutting_board_2080)', 'put_executor(food_chicken_2050, cutting_board_2080)', 'walk
_executor(knifeblock_52)', 'walk_executor(bench_122)', 'walk_executor(bathroom_cabinet_305)', 'open_
executor(bathroom_cabinet_305)', 'walk_executor(kitchen_counter_132)', 'walk_executor(tray_142)', 'w
alk_executor(toaster_144)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'grab_
executor(knife_2036)', 'walk_executor(food_chicken_2050)', 'cut_executor(food_chicken_2050)', 'grab_
executor(food_chicken_2050)', 'walk_executor(fridge_140)', 'putin_executor(food_chicken_2050, fridge
_140)']","Time consume: 185 seconds
Exp_helper query times: 1
Guidance query times: 3
library scale: 1",1,Scene_id: 2
cdl_dataset/dataset/Pet_cat/g3.txt,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat put it on the
 table.","['walk_executor(kitchen_counter_119)', 'walk_executor(bowl_2140)', 'grab_executor(bowl_2140)', 'walk
_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_execut
or(table_114)', 'put_executor(bowl_2140, table_114)', 'walk_executor(table_270)', 'walk_executor(bow
l_2140)', 'grab_executor(bowl_2140)', 'walk_executor(table_270)', 'put_executor(bowl_2140, table_270
)', 'walk_executor(cat_2069)', 'grab_executor(cat_2069) (Failed)', 'walk_executor(table_270)', 'walk
_executor(cat_2069)', 'open_executor(dresser_274)', 'grab_executor(cat_2069)', 'walk_executor(table_
270)', 'put_executor(cat_2069, table_270)']","Time consume: 118 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 3",1,Scene_id: 1
cdl_dataset/dataset/Change_TV_channel/g3.txt,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'standup_executor(char) (Failed)', 'grab_executor(remote_control_2052)', 'walk_e
xecutor(television_248)', 'switchon_executor(television_248)']","Time consume: 32 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 3","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon.,"['walk_executor(stove_2090)', 'switchon_executor(stove_2090)', 'walk_executor(kitchen_counter_128)',
 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_bacon_2044)', 'walk_executor(fryingpan_2107)', 'putin_executor(food_bacon_2044, fryingp
an_2107)', 'grab_executor(fryingpan_2107)', 'walk_executor(stove_2090)', 'put_executor(fryingpan_210
7, stove_2090)']","Time consume: 21 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 3","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_19)', 'scrub_executor(sink_19)', 'rinse_executor(sink_19)']","Time consume: 16 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(dining_room_1)', 'walk_executor(home_office_161)', 'walk_executor(bedroom_220)', 'wa
lk_executor(bathroom_265)', 'walk_executor(bedroom_327)', 'walk_executor(light_49)', 'switchon_execu
tor(light_49)', 'walk_executor(light_217)', 'switchon_executor(light_217)', 'walk_executor(light_258
)', 'switchon_executor(light_258)', 'walk_executor(light_325)', 'switchon_executor(light_325)', 'wal
k_executor(light_384)', 'switchon_executor(light_384)']","Time consume: 47 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 6",1,Scene_id: 2
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(ironing_board_2144)', 'walk_executor(table_199)', 'walk_executor(table_270)', 'walk_
executor(hanger_292)', 'walk_executor(hanger_293)', 'walk_executor(hanger_294)', 'walk_executor(wash
ing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(cat_2069)', 'walk_executor
(ceilinglamp_137)', 'walk_executor(pillow_286)', 'walk_executor(kitchen_counter_119)', 'walk_executo
r(bowl_2142)', 'walk_executor(pot_78)', 'walk_executor(mousepad_279)', 'walk_executor(ceilinglamp_30
3)', 'walk_executor(cpuscreen_277)', 'walk_executor(tablelamp_239)', 'walk_executor(chair_194)', 'wa
lk_executor(tray_128)', 'walk_executor(remote_control_2124)', 'walk_executor(door_61)', 'walk_execut
or(dining_room_41)', 'walk_executor(table_114)', 'walk_executor(dining_room_41)', 'walk_executor(pil
low_106)', 'walk_executor(dining_room_41)', 'walk_executor(pillow_104)', 'walk_executor(dining_room_
41)', 'walk_executor(bowl_2141)', 'walk_executor(dining_room_41)', 'walk_executor(bookshelf_124)', '
open_executor(bookshelf_124)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_
executor(fridge_126)', 'walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_shirt_2158)'
, 'walk_executor(ironing_board_2144)', 'put_executor(clothes_shirt_2158, ironing_board_2144)', 'walk
_executor(iron_2161)', 'plugin_executor(iron_2161)', 'switchon_executor(iron_2161)', 'walk_executor(
clothes_shirt_2158)', 'push_executor(clothes_shirt_2158)', 'pull_executor(clothes_shirt_2158)', 'wal
k_executor(clothes_skirt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(ironing_board_2
144)', 'put_executor(clothes_skirt_2160, ironing_board_2144)', 'walk_executor(clothes_skirt_2160)', 
'push_executor(clothes_skirt_2160)', 'pull_executor(clothes_skirt_2160)']","Time consume: 407 seconds
Exp_helper query times: 5
Guidance query times: 2
library scale: 6","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'scrub_executor(sink_42)', 'rinse_executor(sink_42)']","Time consume: 13 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7",1,Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Get a cup of water and freeze it.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(tray_296)', 'walk_exec
utor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_executor(fau
cet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(fridge_289
)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'putin_executor(cup_2063, fridge_
289)', 'close_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(cup_2063)', 'walk_e
xecutor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor
(fridge_289)', 'putin_executor(cup_2063, fridge_289)']","Time consume: 165 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 10",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Syntax Error,"['walk_executor(table_123)', 'walk_executor(table_127)', 'walk_executor(table_193)', 'walk_executor(
bookshelf_136)', 'walk_executor(bookshelf_137)', 'open_executor(bookshelf_137)', 'walk_executor(book
shelf_188)', 'open_executor(bookshelf_188)', 'walk_executor(bookshelf_189)', 'open_executor(bookshel
f_189)', 'walk_executor(bookshelf_260)', 'open_executor(bookshelf_260)', 'walk_executor(bookshelf_37
2)', 'open_executor(bookshelf_372)']","Time consume: 156 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 10","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Boil egg.,"['walk_executor(kitchen_counter_119)', 'walk_executor(pot_2138)', 'grab_executor(pot_2138)', 'walk_e
xecutor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor
(stove_2135)', 'put_executor(pot_2138, stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor
(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(pot_213
8)', 'open_executor(pot_2138)', 'walk_executor(food_egg_2092)', 'grab_executor(food_egg_2092)', 'wal
k_executor(pot_2138)', 'putin_executor(food_egg_2092, pot_2138)']","Time consume: 22 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g2.txt,Syntax Error,['walk_executor(light_169)'],"Time consume: 12 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'walk_executor(book_2136)', 'grab_e
xecutor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_2136, table_270)', 'walk_executo
r(window_310)', 'open_executor(window_310)']","Time consume: 28 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 13",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(bathroom_1)', 'walk_executor(dining_room_41)', 'walk_executor(bedroom_162)', 'walk_e
xecutor(home_office_241)', 'walk_executor(light_39)', 'switchon_executor(light_39)', 'walk_executor(
light_73)', 'switchon_executor(light_73)', 'walk_executor(light_212)', 'switchon_executor(light_212)
', 'walk_executor(light_283)', 'switchon_executor(light_283)']","Time consume: 28 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 15",1,Scene_id: 1
