Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_ex
ecutor(faucet_43)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: 1.0",cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'scrub_executor(sink_42)']",True,1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
switchon_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)', 'plugin_executor(dvd_play
er_2061)', 'switchon_executor(dvd_player_2061)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_388)', 'walk_executor(closetdrawer_3
92)', 'walk_executor(bookshelf_101)', 'open_executor(bookshelf_101)', 'walk_executor(dvd_player_2061
)', 'open_executor(dvd_player_2061)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_10
01)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'open_executor(cd_player_2060)'
, 'plugin_executor(cd_player_2060)', 'close_executor(cd_player_2060)', 'switchon_executor(cd_player_
2060)']",False,"Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(cupboard_229)', 
'open_executor(cupboard_229)', 'walk_executor(wallshelf_35)', 'walk_executor(kitchen_counter_230)', 
'walk_executor(faucet_232)', 'walk_executor(closetdrawer_160)', 'walk_executor(table_226)', 'walk_ex
ecutor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bo
wl_2071, dishwasher_1001)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(d
ishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'walk_executor(table_226)', 'walk_ex
ecutor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(fridge_289)', 'switchoff_executor(f
ridge_289)', 'open_executor(fridge_289)', 'walk_executor(closetdrawer_392)', 'walk_executor(toaster_
292)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_ex
ecutor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_
1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(fork_2080)', 'grab_executor(fork_2080)'
, 'walk_executor(sink_42)', 'putin_executor(fork_2080, sink_42)', 'walk_executor(fork_2080)', 'wash_
executor(fork_2080)']",True,1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(wallshelf_35)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 
'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(curtain_181)', 'walk_ex
ecutor(closetdrawer_117)', 'walk_executor(closetdrawer_394)', 'walk_executor(table_226)', 'walk_exec
utor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl
_2071, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(bowl_2072)', 'grab_executor(bow
l_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'walk_exec
utor(kitchen_counter_230)', 'walk_executor(closetdrawer_160)', 'walk_executor(faucet_232)', 'walk_ex
ecutor(toaster_292)', 'walk_executor(dishwasher_1001)']",False,"Keystate: k1 - Completion Rate: 0.7142857142857143
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
grab_executor(remote_control_2052)', 'walk_executor(television_248)', 'switchon_executor(television_
248)']",False,Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(tel
evision_410)', 'switchon_executor(television_410)', 'walk_executor(remote_control_2052)', 'grab_exec
utor(remote_control_2052)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'wa
lk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
