Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(bathroom_1)', 'walk_executor(faucet_43)', 'open_executor(bathroom_cabinet_40)', 'wal
k_executor(bathroom_cabinet_40)', 'walk_executor(faucet_43)', 'walk_executor(bathroom_cabinet_40)', 
'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'putin_executor(faucet_43, sink_42) (Fai
led)', 'walk_executor(bathroom_cabinet_40)', 'walk_executor(bathroom_counter_41)', 'walk_executor(si
nk_42)', 'grab_executor(soap_2053)', 'putin_executor(soap_2053, sink_42)']","Time consume: 112 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'grab_executor(cleaning_solution_2073)', 'put_executor(cleaning_solution_
2073, sink_42)', 'wash_executor(sink_42)']","Time consume: 27 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(home_office_319)', 'walk_executor(tvstand_353)', 'walk_executor(dvd_player_2061)', '
walk_executor(tvstand_353)', 'walk_executor(dvd_player_2061)', 'walk_executor(couch_352)', 'grab_exe
cutor(remote_control_2052)', 'switchon_executor(dvd_player_2061) (Failed)', 'plugin_executor(dvd_pla
yer_2061) (Failed)', 'plugin_executor(dvd_player_2061) (Failed)', 'walk_executor(powersocket_412)', 
'plugin_executor(dvd_player_2061) (Failed)', 'walk_executor(dvd_player_2061)', 'plugin_executor(dvd_
player_2061)', 'switchon_executor(dvd_player_2061)', 'walk_executor(couch_352)', 'switchon_executor(
remote_control_2052)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_
2061) (Failed)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_2061) 
(Failed)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_2061) (Faile
d)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_2061) (Failed)', '
switchon_executor(dvd_player_2061) (Failed)']","Time consume: 97 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(tvstand_353)', 'walk_executor(home_office_319)', 'walk_executor(tvstand_353)', 'walk
_executor(tvstand_353)', 'walk_executor(tvstand_225)', 'switchon_executor(cd_player_2060) (Failed)',
 'plugin_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)', 'switchon_executor(cd_playe
r_2060) (Failed)', 'switchon_executor(cd_player_2060) (Failed)', 'switchon_executor(cd_player_2060) 
(Failed)', 'switchon_executor(cd_player_2060) (Failed)', 'walk_executor(tvstand_225)', 'switchon_exe
cutor(cd_player_2060) (Failed)', 'switchon_executor(cd_player_2060) (Failed)', 'switchon_executor(cd
_player_2060) (Failed)', 'walk_executor(cd_player_2060)', 'switchon_executor(cd_player_2060) (Failed
)', 'open_executor(cd_player_2060) (Failed)', 'open_executor(cd_player_2060) (Failed)', 'walk_execut
or(cd_2075)', 'grab_executor(cd_2075)', 'open_executor(cd_player_2060) (Failed)', 'walk_executor(cd_
player_2060)', 'open_executor(cd_player_2060) (Failed)', 'putin_executor(cd_2075, cd_player_2060) (F
ailed)', 'open_executor(cd_player_2060) (Failed)', 'putin_executor(cd_2075, cd_player_2060) (Failed)
', 'open_executor(cd_player_2060) (Failed)', 'open_executor(cd_player_2060) (Failed)', 'open_executo
r(cd_player_2060) (Failed)', 'open_executor(cd_player_2060) (Failed)', 'open_executor(cd_player_2060
) (Failed)', 'open_executor(cd_player_2060) (Failed)']","Time consume: 349 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.4444444444444444
Keystate: k2 - Completion Rate: 0.8333333333333334
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(cupboard_229)', 
'open_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(dishwasher_1001)', 'wal
k_executor(sink_231)', 'grab_executor(soap_2054)', 'putin_executor(soap_2054, dishwasher_1001)', 'sw
itchon_executor(dishwasher_1001)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_exe
cutor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)',
 'walk_executor(cupboard_229)', 'walk_executor(sink_231)', 'wash_executor(dishwasher_1001)', 'switch
on_executor(dishwasher_1001) (Failed)', 'walk_executor(cupboard_229)', 'walk_executor(sink_231)', 'o
pen_executor(dishwasher_1001) (Failed)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishw
asher_1001) (Failed)', 'switchon_executor(dishwasher_1001) (Failed)', 'switchon_executor(dishwasher_
1001) (Failed)', 'switchon_executor(dishwasher_1001) (Failed)', 'switchon_executor(dishwasher_1001) 
(Failed)', 'switchon_executor(dishwasher_1001) (Failed)', 'plugin_executor(dishwasher_1001) (Failed)
', 'plugin_executor(dishwasher_1001) (Failed)', 'switchon_executor(dishwasher_1001) (Failed)', 'swit
chon_executor(dishwasher_1001) (Failed)', 'switchon_executor(dishwasher_1001) (Failed)']","Time consume: 236 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Keystate: k2 - Completion Rate: 0.1875
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(sink_231)', 'wal
k_executor(plate_1000)', 'grab_executor(plate_1000)', 'putin_executor(plate_1000, dishwasher_1001)',
 'walk_executor(table_226)', 'grab_executor(bowl_2071)', 'putin_executor(bowl_2071, dishwasher_1001)
 (Failed)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'walk_executor(dishwasher_1001)',
 'putin_executor(bowl_2071, dishwasher_1001)', 'grab_executor(bowl_2072) (Failed)', 'grab_executor(b
owl_2072) (Failed)', 'grab_executor(bowl_2072) (Failed)', 'grab_executor(bowl_2072) (Failed)', 'walk
_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'putin_executor(bowl_2072, dishwasher_1001) (Fail
ed)', 'putin_executor(bowl_2072, dishwasher_1001) (Failed)', 'putin_executor(bowl_2072, dishwasher_1
001) (Failed)', 'putin_executor(bowl_2072, dishwasher_1001) (Failed)', 'putin_executor(bowl_2072, di
shwasher_1001) (Failed)', 'putin_executor(bowl_2072, dishwasher_1001) (Failed)', 'putin_executor(bow
l_2072, dishwasher_1001) (Failed)', 'putin_executor(bowl_2072, dishwasher_1001) (Failed)', 'putin_ex
ecutor(bowl_2072, dishwasher_1001) (Failed)', 'putin_executor(bowl_2072, dishwasher_1001) (Failed)',
 'putin_executor(bowl_2072, dishwasher_1001) (Failed)']","Time consume: 197 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.75
Action Completion Rate: 0.0",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_
230)', 'walk_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor(dishwa
sher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor(dishwasher_1001)', 'walk_executor(
kitchen_counter_230)', 'walk_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk
_executor(dishwasher_1001)', 'walk_executor(washing_machine_2007)', 'walk_executor(sink_42)', 'walk_
executor(kitchen_counter_230)', 'walk_executor(sink_231)', 'grab_executor(plate_1000)', 'putin_execu
tor(plate_1000, dishwasher_1001)', 'walk_executor(sink_231)', 'walk_executor(sink_231)', 'walk_execu
tor(kitchen_counter_230)', 'walk_executor(sink_231)', 'walk_executor(bathroom_cabinet_40)', 'walk_ex
ecutor(table_226)', 'grab_executor(bowl_2071)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)
', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'putin_executor(bowl_2071, dishwasher_1001
) (Failed)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'putin_executor(bowl_2071, dishw
asher_1001) (Failed)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'putin_executor(bowl_2
071, dishwasher_1001) (Failed)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwa
sher_1001)', 'switchon_executor(dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_exec
utor(dishwasher_1001) (Failed)', 'plugin_executor(dishwasher_1001) (Failed)', 'plugin_executor(dishw
asher_1001) (Failed)', 'switchoff_executor(dishwasher_1001)', 'plugin_executor(dishwasher_1001) (Fai
led)', 'plugin_executor(dishwasher_1001) (Failed)', 'plugin_executor(dishwasher_1001) (Failed)', 'sw
itchoff_executor(dishwasher_1001) (Failed)', 'plugin_executor(dishwasher_1001) (Failed)', 'plugin_ex
ecutor(dishwasher_1001) (Failed)', 'plugin_executor(dishwasher_1001) (Failed)', 'plugin_executor(dis
hwasher_1001) (Failed)', 'plugin_executor(dishwasher_1001) (Failed)', 'plugin_executor(dishwasher_10
01) (Failed)']","Time consume: 330 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.6428571428571428
Keystate: k2 - Completion Rate: 0.5
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(tvstand_353)', 'walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_exe
cutor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(tvstand_225)', 'walk_executor(couc
h_352)', 'grab_executor(remote_control_2052)', 'switchon_executor(television_410)', 'switchon_execut
or(television_248) (Failed)', 'switchon_executor(television_248) (Failed)', 'switchon_executor(telev
ision_248) (Failed)', 'switchon_executor(television_248) (Failed)', 'switchon_executor(television_41
0) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)'
, 'walk_executor(television_410)', 'switchon_executor(television_410) (Failed)', 'plugin_executor(te
levision_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'switchon_executor(television_2
48) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)
', 'plugin_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'switchon
_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'switchon_executor(
television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugout_executor(television_
410)', 'plugin_executor(television_410)']","Time consume: 112 seconds
Exp_helper query times: 1",Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['sit_executor(couch_352) (Failed)', 'sit_executor(couch_352) (Failed)', 'sit_executor(couch_352) (F
ailed)', 'sit_executor(couch_352) (Failed)', 'sit_executor(couch_352) (Failed)', 'sit_executor(couch
_352) (Failed)', 'sit_executor(couch_352) (Failed)', 'sit_executor(couch_352) (Failed)', 'walk_execu
tor(couch_352)', 'sit_executor(couch_352)', 'grab_executor(remote_control_2052)', 'switchon_executor
(television_410)', 'switchon_executor(television_410) (Failed)', 'plugin_executor(television_410) (F
ailed)', 'plugin_executor(television_410) (Failed)', 'switchon_executor(television_410) (Failed)', '
switchon_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugin_exe
cutor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugin_executor(televi
sion_410) (Failed)', 'switchon_executor(remote_control_2052)', 'plugin_executor(television_410) (Fai
led)', 'plugin_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'swit
choff_executor(remote_control_2052)', 'plugin_executor(television_410) (Failed)', 'plugin_executor(t
elevision_410) (Failed)']","Time consume: 127 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(cup_2063)', 
'grab_executor(cup_2063)', 'putin_executor(cup_2063, coffe_maker_290) (Failed)', 'put_executor(cup_2
063, coffe_maker_290)', 'grab_executor(cup_2063)', 'switchon_executor(coffe_maker_290) (Failed)', 'p
ut_executor(cup_2063, kitchen_counter_230)', 'switchon_executor(coffe_maker_290) (Failed)', 'walk_ex
ecutor(fridge_289)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'sw
itchoff_executor(coffe_maker_290) (Failed)', 'switchon_executor(fridge_289) (Failed)', 'open_executo
r(fridge_289) (Failed)', 'plugout_executor(coffe_maker_290) (Failed)', 'open_executor(fridge_289) (F
ailed)', 'switchoff_executor(coffe_maker_290) (Failed)', 'open_executor(fridge_289) (Failed)', 'clos
e_executor(fridge_289) (Failed)', 'switchoff_executor(coffe_maker_290) (Failed)', 'walk_executor(cof
fe_maker_290)', 'switchoff_executor(coffe_maker_290)', 'plugin_executor(coffe_maker_290) (Failed)', 
'walk_executor(cup_2063)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)
', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'walk_executor(fridge
_289)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)']","Time consume: 215 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
