Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_breakfast/g4.txt,Syntax Error,"['walk_executor(kitchen_counter_123)', 'walk_executor(kitchen_counter_119)', 'walk_executor(pot_2138
)', 'open_executor(pot_2138)', 'walk_executor(pot_78)', 'walk_executor(cupboard_117)', 'walk_executo
r(kitchen_counter_122)', 'walk_executor(desk_193)', 'walk_executor(sink_120)', 'walk_executor(cpuscr
een_277)', 'walk_executor(toaster_132)', 'walk_executor(microwave_135)', 'open_executor(microwave_13
5)', 'open_executor(pot_2040)']","Time consume: 285 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 12 steps
Keystate: k2 - Requires: 15 steps
Keystate: k3 - Requires: 11 steps
Keystate: k4 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Listen_to_music/g2.txt,Syntax Error,"['walk_executor(coffee_table_2068)', 'walk_executor(remote_control_2052)', 'walk_executor(dvd_player
_2061)', 'open_executor(dvd_player_2061)']","Time consume: 83 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/make_up_bed/g3.txt,Prepare a cup of water on the nightstand.,"['walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_executor(nightstand_102)', 
'walk_executor(dresser_123)', 'open_executor(dresser_123)', 'walk_executor(wallshelf_234)', 'walk_ex
ecutor(wallshelf_235)', 'walk_executor(faucet_232)', 'walk_executor(cup_2063)', 'grab_executor(cup_2
063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 
'walk_executor(nightstand_100)', 'put_executor(cup_2063, nightstand_100)']","Time consume: 43 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1",1,Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g1.txt,Turn on the cd player.,"['walk_executor(wallshelf_235)', 'walk_executor(wallshelf_234)', 'walk_executor(wallshelf_35)', 'wal
k_executor(home_office_319)', 'walk_executor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_
executor(closetdrawer_154)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'plugin_
executor(cd_player_2060)', 'switchon_executor(cd_player_2060)']","Time consume: 35 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 1","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,[],"Time consume: 91 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,[],"Time consume: 90 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_chicken_2050)', 'walk_executor(kitchen_counter_132)', 'walk_executor(kitchen_counter_12
8)', 'walk_executor(cutting_board_2080)', 'put_executor(food_chicken_2050, cutting_board_2080)', 'wa
lk_executor(knifeblock_52)', 'walk_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)',
 'walk_executor(cutting_board_2080)', 'put_executor(food_chicken_2050, cutting_board_2080)', 'walk_e
xecutor(walllamp_184)', 'walk_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)', 'wal
k_executor(cutting_board_2080)', 'put_executor(food_chicken_2050, cutting_board_2080)', 'walk_execut
or(shower_303)', 'walk_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)', 'walk_execu
tor(cutting_board_2080)', 'put_executor(food_chicken_2050, cutting_board_2080)', 'walk_executor(dish
washer_143)', 'open_executor(dishwasher_143)', 'walk_executor(food_chicken_2050)', 'grab_executor(fo
od_chicken_2050)', 'walk_executor(cutting_board_2080)', 'put_executor(food_chicken_2050, cutting_boa
rd_2080)', 'walk_executor(knife_2036)', 'grab_executor(knife_2036)', 'walk_executor(food_chicken_205
0)', 'cut_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)', 'walk_executor(fridge_14
0)', 'putin_executor(food_chicken_2050, fridge_140)', 'close_executor(fridge_140)']","Time consume: 77 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2",1,Scene_id: 2
cdl_dataset/dataset/Pet_cat/g3.txt,Syntax Error,"['walk_executor(kitchen_counter_123)', 'walk_executor(cupboard_117)', 'walk_executor(sink_120)', 'wa
lk_executor(bowl_2140)', 'grab_executor(bowl_2140)', 'walk_executor(faucet_20)', 'switchon_executor(
faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(table_270)', 'put_executor(bowl_2140, t
able_270)', 'walk_executor(couch_198)', 'walk_executor(bowl_2141)', 'grab_executor(bowl_2141)', 'wal
k_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_execu
tor(table_270)', 'put_executor(bowl_2141, table_270)', 'walk_executor(cat_2069)', 'grab_executor(cat
_2069) (Failed)']","Time consume: 140 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Change_TV_channel/g3.txt,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'walk_executor(television_248) (Failed)', 's
it_executor(couch_352) (Failed)', 'standup_executor(char)', 'walk_executor(remote_control_2052)', 'g
rab_executor(remote_control_2052)', 'standup_executor(char) (Failed)', 'walk_executor(television_248
)', 'switchon_executor(television_248)']","Time consume: 68 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g3.txt,Syntax Error,[],"Time consume: 36 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2","Keystate: k1 - Requires: 15 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_19)', 'wash_executor(sink_19)']","Time consume: 8 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 3",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Syntax Error,[],"Time consume: 23 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 3","Keystate: k1 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 2
