Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_101)', 'open_executor(bookshelf_101)', 'walk_executor(bookshelf_233)', 'op
en_executor(bookshelf_233)', 'walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_e
xecutor(book_2066)', 'open_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(table_10
7)', 'put_executor(book_2066, table_107)', 'walk_executor(light_64)', 'switchon_executor(light_64)']","Time consume: 81 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g2.txt,Roast chicken with onion in the oven.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(kitchen_counter_230)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)
', 'walk_executor(cutting_board_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk
_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_execut
or(food_chicken_2017)', 'walk_executor(food_onion_2032)', 'grab_executor(food_onion_2032)', 'walk_ex
ecutor(cutting_board_2051)', 'put_executor(food_onion_2032, cutting_board_2051)', 'walk_executor(foo
d_onion_2032)', 'cut_executor(food_onion_2032)', 'walk_executor(oven_295)', 'switchoff_executor(oven
_295)', 'open_executor(oven_295)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2
017)', 'walk_executor(oven_295)', 'putin_executor(food_chicken_2017, oven_295)', 'walk_executor(food
_onion_2032)', 'grab_executor(food_onion_2032)', 'walk_executor(oven_295)', 'putin_executor(food_oni
on_2032, oven_295)', 'close_executor(oven_295)', 'switchon_executor(oven_295)']","Time consume: 71 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Pet_cat/g4.txt,Syntax Error,"['walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(washing_machine_2007)', 
'open_executor(washing_machine_2007)', 'walk_executor(sink_42)', 'walk_executor(basket_for_clothes_2
006)']","Time consume: 67 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(closetdrawer_154)', 'walk_executor(closetdrawer_154)', 'w
alk_executor(closetdrawer_154)', 'walk_executor(closetdrawer_154)', 'walk_executor(closetdrawer_154)
', 'walk_executor(closetdrawer_154)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_
machine_2007)', 'walk_executor(closetdrawer_154)', 'walk_executor(closetdrawer_154)', 'walk_executor
(bathroom_counter_41)', 'walk_executor(towel_rack_32)', 'walk_executor(basket_for_clothes_2006)', 'g
rab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_
2088, ironing_board_2074)']","Time consume: 176 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Make_coffee/g1.txt,Syntax Error,"['walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'wa
lk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)']","Time consume: 107 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 7
goal correct times: 0
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g4.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(closetdrawer_158)']","Time consume: 68 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
","Keystate: k1 - Requires: 16 steps
Keystate: k2 - Requires: 15 steps
Keystate: k3 - Requires: 11 steps
Keystate: k4 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g2.txt,Scramble egg by the fryingpan.,"['walk_executor(stove_2065)', 'switchon_executor(stove_2065)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(stove_2065)', 'put
_executor(fryingpan_2083, stove_2065)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)
', 'open_executor(fridge_289)', 'grab_executor(food_egg_2020)', 'walk_executor(fryingpan_2083)', 'pu
tin_executor(food_egg_2020, fryingpan_2083)']","Time consume: 106 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Syntax Error,[],"Time consume: 93 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
","Keystate: k1 - Requires: 7 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Wash_windows/g2.txt,Wipe all the windows in the house by towel.,"['walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(closet
drawer_154)', 'walk_executor(closetdrawer_154)', 'walk_executor(closetdrawer_154)', 'walk_executor(c
losetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(bathroom_counter_41)', 'walk_ex
ecutor(towel_rack_32)', 'walk_executor(towel_2057)', 'grab_executor(towel_2057)', 'walk_executor(win
dow_63)', 'wipe_executor(window_63)', 'walk_executor(window_86)', 'wipe_executor(window_86)', 'walk_
executor(window_348)', 'wipe_executor(window_348)', 'walk_executor(window_63)', 'open_executor(windo
w_63)', 'walk_executor(window_86)', 'open_executor(window_86)', 'walk_executor(window_348)', 'open_e
xecutor(window_348)', 'walk_executor(window_63)', 'walk_executor(window_86)', 'walk_executor(window_
348)']","Time consume: 231 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 9
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Make_coffee/g2.txt,Syntax Error,[],"Time consume: 110 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
","Keystate: k1 - Requires: 19 steps
Action Completion Rate: No actions required",Scene_id: 0
