Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Iron_clothes/g4.txt,"Iron a shirt, and put it in on the bed.","['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_382)', 'w
alk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_382)
', 'walk_executor(closetdrawer_382)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(cloth
es_shirt_2086)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_
shirt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(iron_2089)', 'switchoff_executor(iron_
2089)', 'plugout_executor(iron_2089)', 'walk_executor(bed_105)', 'put_executor(clothes_shirt_2086, b
ed_105)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 
'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(bed_105)', 
'put_executor(clothes_shirt_2086, bed_105)']","Time consume: 193 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 1
action_num: 28
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,"Put milk, turkey, egg, fish and chicken on one of the table in dining room.","['walk_executor(table_226)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_ex
ecutor(fridge_289)', 'grab_executor(milk_2043)', 'walk_executor(table_226)', 'put_executor(milk_2043
, table_226)', 'walk_executor(food_turkey_2040)', 'grab_executor(food_turkey_2040)', 'walk_executor(
table_226)', 'put_executor(food_turkey_2040, table_226)', 'walk_executor(food_egg_2020)', 'grab_exec
utor(food_egg_2020)', 'walk_executor(table_226)', 'put_executor(food_egg_2020, table_226)', 'walk_ex
ecutor(food_fish_2021)', 'grab_executor(food_fish_2021)', 'walk_executor(table_226)', 'put_executor(
food_fish_2021, table_226)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)',
 'walk_executor(table_226)', 'put_executor(food_chicken_2017, table_226)']","Time consume: 68 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 2
goal correct times: 0
action_num: 23
",1,Scene_id: 0
cdl_dataset/dataset/Pet_cat/g4.txt,Syntax Error,"['walk_executor(bed_105)', 'walk_executor(pillow_182)']","Time consume: 46 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 1
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 6 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(basket_for_clothes_2006)', 'walk_executor(washing_machine_2007)', 'open_executor(was
hing_machine_2007)', 'walk_executor(clothes_pants_2085)', 'grab_executor(clothes_pants_2085)', 'walk
_executor(washing_machine_2007)', 'putin_executor(clothes_pants_2085, washing_machine_2007)', 'walk_
executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(washing_machine_2
007)', 'putin_executor(clothes_shirt_2086, washing_machine_2007)', 'walk_executor(clothes_socks_2087
)', 'grab_executor(clothes_socks_2087)', 'walk_executor(washing_machine_2007)', 'putin_executor(clot
hes_socks_2087, washing_machine_2007)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_
skirt_2088)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_skirt_2088, washing_mac
hine_2007)', 'plugin_executor(washing_machine_2007)', 'close_executor(washing_machine_2007)', 'switc
hon_executor(washing_machine_2007)']","Time consume: 117 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 3
goal correct times: 0
action_num: 22
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(wallshelf_234)', 'walk
_executor(wallshelf_235)', 'walk_executor(kitchen_counter_230)', 'walk_executor(wallshelf_35)', 'wal
k_executor(sink_231)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'walk_executor(bowl_2
072)', 'walk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(faucet_43)', 'switchon
_executor(faucet_43)', 'wash_executor(bowl_2071)', 'switchoff_executor(faucet_43)', 'walk_executor(b
owl_2071)', 'scrub_executor(bowl_2071)', 'rinse_executor(bowl_2071)', 'walk_executor(fridge_289)', '
switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_ice_cream_2025)', 
'putin_executor(food_ice_cream_2025, bowl_2071)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_20
72)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(bowl_2072)', 'switc
hoff_executor(faucet_43)', 'walk_executor(bowl_2072)', 'scrub_executor(bowl_2072)', 'rinse_executor(
bowl_2072)', 'walk_executor(food_ice_cream_2025)', 'grab_executor(food_ice_cream_2025) (Failed)', 'w
alk_executor(kitchen_counter_230)', 'put_executor(bowl_2071, kitchen_counter_230)', 'walk_executor(f
ridge_289)', 'close_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_jam_2026
)', 'walk_executor(bowl_2071)', 'putin_executor(food_jam_2026, bowl_2071)']","Time consume: 301 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 4
goal generate times: 10
goal correct times: 4
action_num: 43
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Change_TV_channel/g1.txt,Turn on the TV by touching the remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(television_248)', 'walk_
executor(couch_352)', 'walk_executor(remote_control_2052)', 'touch_executor(remote_control_2052)']","Time consume: 46 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 1
goal correct times: 0
action_num: 6
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_3
82)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdra
wer_382)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_skirt_2088)', 'walk_exec
utor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_skirt_2088)', 'switchoff_ex
ecutor(faucet_43)', 'walk_executor(ironing_board_2074)', 'walk_executor(basket_for_clothes_2006)', '
walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_2074)', 'plugin_
executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(iron_2089)', 'grab_executor(iro
n_2089)', 'walk_executor(clothes_skirt_2088)', 'put_executor(iron_2089, clothes_skirt_2088)', 'grab_
executor(iron_2089)', 'put_executor(iron_2089, clothes_skirt_2088)', 'push_executor(iron_2089)', 'pu
ll_executor(iron_2089)']","Time consume: 304 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 5
goal generate times: 14
goal correct times: 2
action_num: 26
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g2.txt,Wash all the clothes in the basket for clothes by adding soap to the washing machine and running it.,"['walk_executor(basket_for_clothes_2006)', 'walk_executor(washing_machine_2007)', 'open_executor(was
hing_machine_2007)', 'walk_executor(clothes_pants_2085)', 'grab_executor(clothes_pants_2085)', 'walk
_executor(washing_machine_2007)', 'putin_executor(clothes_pants_2085, washing_machine_2007)', 'walk_
executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(washing_machine_2
007)', 'putin_executor(clothes_shirt_2086, washing_machine_2007)', 'walk_executor(clothes_socks_2087
)', 'grab_executor(clothes_socks_2087)', 'walk_executor(washing_machine_2007)', 'putin_executor(clot
hes_socks_2087, washing_machine_2007)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_
skirt_2088)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_skirt_2088, washing_mac
hine_2007)', 'walk_executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_execu
tor(bathroom_counter_41)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_382)', 'wa
lk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_382)', 'walk_executor(sink_42)', 'walk_e
xecutor(soap_2053)', 'grab_executor(soap_2053)', 'walk_executor(washing_machine_2007)', 'putin_execu
tor(soap_2053, washing_machine_2007)', 'plugin_executor(washing_machine_2007)', 'close_executor(wash
ing_machine_2007)', 'switchon_executor(washing_machine_2007)']","Time consume: 171 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 9
goal generate times: 4
goal correct times: 0
action_num: 34
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g1.txt,Find the book and put it on the coffee table in home office.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2066)', 'open_e
xecutor(book_2066)', 'walk_executor(book_2067)', 'open_executor(book_2067)', 'grab_executor(book_206
7)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2067, coffee_table_2068)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 9
goal generate times: 2
goal correct times: 0
action_num: 9
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'scrub_executor(sink_42)', 'rinse_executor(sink_42)', 'wipe_executor(sink
_42) (Failed)', 'scrub_executor(sink_42)', 'rinse_executor(sink_42)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10
goal generate times: 3
goal correct times: 0
action_num: 6
",1,Scene_id: 0
