Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_ex
ecutor(faucet_43)', 'walk_executor(soap_2053)', 'grab_executor(soap_2053)', 'walk_executor(sink_42)'
, 'putin_executor(soap_2053, sink_42)']","Time consume: 136 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'scrub_executor(sink_42)']","Time consume: 28 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(television_248)', 'walk_executor(mousepad_167)', 'walk
_executor(coffee_table_2068)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_control_2
052)', 'walk_executor(dvd_player_2061)', 'put_executor(remote_control_2052, dvd_player_2061)', 'plug
in_executor(dvd_player_2061)', 'close_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_pl
ayer_2061)']","Time consume: 137 seconds
Exp_helper query times: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', '
switchon_executor(cd_player_2060)']","Time consume: 60 seconds
Exp_helper query times: 0","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,[],"Time consume: 50 seconds
Exp_helper query times: 0","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 16 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(mousepad_167)', 
'walk_executor(kitchen_counter_230)', 'walk_executor(cutting_board_2051)', 'walk_executor(coffee_tab
le_2068)', 'walk_executor(cup_2064)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'grab_
executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)'
, 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_e
xecutor(bowl_2072, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(table_107)', 'walk_
executor(closetdrawer_120)', 'walk_executor(curtain_409)', 'open_executor(curtain_409)', 'walk_execu
tor(tray_296)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)',
 'walk_executor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(di
shwasher_1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(fork_2080)', 'grab_executor(fo
rk_2080)', 'walk_executor(sink_42)', 'putin_executor(fork_2080, sink_42)', 'walk_executor(fork_2080)
', 'wash_executor(fork_2080)']","Time consume: 437 seconds
Exp_helper query times: 2",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(coffee_table_2068)', 'walk_executor(table_107)', 'walk_executor(ceilinglamp_26)', 'w
alk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(shower_36)', 'walk_
executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(table_226)', 'w
alk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_execu
tor(bowl_2071, dishwasher_1001)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_exec
utor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'close_executor(dishwasher_100
1)', 'switchon_executor(dishwasher_1001)', 'walk_executor(table_107)', 'walk_executor(table_355)', '
walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', '
walk_executor(sink_42)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'walk_executor(dish
washer_1001)', 'switchoff_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_execut
or(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_executor(plat
e_1000, dishwasher_1001)', 'grab_executor(plate_1000)', 'putin_executor(plate_1000, dishwasher_1001)
', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)']","Time consume: 509 seconds
Exp_helper query times: 2",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(television_248)', 'switchon_executor(television_248)']","Time consume: 26 seconds
Exp_helper query times: 0",Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)', 'standup_executor(char) (Failed)', 'walk_e
xecutor(television_248)', 'switchon_executor(television_248)']","Time consume: 80 seconds
Exp_helper query times: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'wa
lk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(faucet_232)', 's
witchon_executor(faucet_232)', 'walk_executor(coffe_maker_290)', 'walk_executor(faucet_43)', 'switch
on_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(coffe_maker_290)', 'switcho
ff_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'close_executor(coffe_maker_290)', 
'switchon_executor(coffe_maker_290)', 'walk_executor(faucet_232)', 'switchoff_executor(faucet_232)',
 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'switchon_executor(faucet_232)',
 'switchoff_executor(faucet_232)', 'walk_executor(coffe_maker_290)', 'switchoff_executor(coffe_maker
_290)', 'open_executor(coffe_maker_290)', 'close_executor(coffe_maker_290)', 'switchon_executor(coff
e_maker_290)', 'switchoff_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'close_execu
tor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'switchoff_executor(coffe_maker_290)', 
'open_executor(coffe_maker_290)', 'close_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_
290)', 'switchoff_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'close_executor(coff
e_maker_290)', 'switchon_executor(coffe_maker_290)', 'switchoff_executor(coffe_maker_290)', 'open_ex
ecutor(coffe_maker_290)', 'close_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', '
switchoff_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'close_executor(coffe_maker_
290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge
_289)', 'open_executor(fridge_289)', 'grab_executor(milk_2043)', 'walk_executor(cup_2063)', 'putin_e
xecutor(milk_2043, cup_2063)', 'walk_executor(food_sugar_2039)', 'grab_executor(food_sugar_2039)', '
walk_executor(cup_2063)', 'putin_executor(food_sugar_2039, cup_2063)']","Time consume: 3912 seconds
Exp_helper query times: 0","Keystate: k1 - Requires: 17 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
