Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g6.txt,"Put pizza and hamburger on a plate. Then hot them in the microwave. Then put them on a table in dinn
ing room.","['walk_executor(table_127)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_ex
ecutor(fridge_140)', 'grab_executor(food_pizza_2065)', 'walk_executor(plate_2105)', 'put_executor(fo
od_pizza_2065, plate_2105)', 'walk_executor(food_hamburger_2057)', 'grab_executor(food_hamburger_205
7)', 'walk_executor(plate_2105)', 'put_executor(food_hamburger_2057, plate_2105)', 'walk_executor(mi
crowave_149)', 'open_executor(microwave_149)', 'walk_executor(plate_2105)', 'grab_executor(plate_210
5)', 'walk_executor(microwave_149)', 'putin_executor(plate_2105, microwave_149)', 'close_executor(mi
crowave_149)', 'switchon_executor(microwave_149)', 'switchoff_executor(microwave_149)', 'open_execut
or(microwave_149)', 'walk_executor(plate_2105)', 'grab_executor(plate_2105)', 'walk_executor(table_1
23)', 'put_executor(plate_2105, table_123)', 'grab_executor(plate_2105)', 'walk_executor(microwave_1
49)', 'putin_executor(plate_2105, microwave_149)', 'close_executor(microwave_149)', 'switchon_execut
or(microwave_149)', 'switchoff_executor(microwave_149)', 'open_executor(microwave_149)', 'walk_execu
tor(plate_2105)', 'grab_executor(plate_2105)', 'walk_executor(table_123)', 'put_executor(plate_2105,
 table_123)', 'grab_executor(plate_2105)', 'walk_executor(microwave_149)', 'putin_executor(plate_210
5, microwave_149)', 'close_executor(microwave_149)', 'switchon_executor(microwave_149)', 'switchoff_
executor(microwave_149)', 'open_executor(microwave_149)', 'walk_executor(plate_2105)', 'grab_executo
r(plate_2105)', 'walk_executor(table_123)', 'put_executor(plate_2105, table_123)']","Time consume: 276 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 1
action_num: 47
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'walk_executor(book_2136)', 'grab_e
xecutor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_2136, table_270)', 'walk_executo
r(light_283)', 'switchon_executor(light_283)']","Time consume: 48 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1
goal generate times: 1
goal correct times: 1
action_num: 8
",1,Scene_id: 1
cdl_dataset/dataset/Drink/g6.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_e
xecutor(food_lemon_2100)', 'walk_executor(cutting_board_2123)', 'put_executor(food_lemon_2100, cutti
ng_board_2123)', 'walk_executor(knifeblock_76)', 'walk_executor(cupboard_117)', 'walk_executor(kitch
en_counter_123)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(table
_199)', 'walk_executor(dishwasher_129)', 'open_executor(dishwasher_129)', 'walk_executor(kitchen_cou
nter_122)', 'walk_executor(table_114)', 'walk_executor(cup_2132)', 'grab_executor(cup_2132)', 'walk_
executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executo
r(knife_2122)', 'grab_executor(knife_2122)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_le
mon_2100)', 'walk_executor(kitchen_counter_119)', 'put_executor(knife_2122, kitchen_counter_119)', '
walk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'walk_executor(cup_2132)', 'putin
_executor(food_lemon_2100, cup_2132)', 'walk_executor(food_sugar_2111)', 'grab_executor(food_sugar_2
111)', 'walk_executor(cup_2132)', 'putin_executor(food_sugar_2111, cup_2132)']","Time consume: 932 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2
goal generate times: 3
goal correct times: 1
action_num: 35
",1,Scene_id: 1
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat.,"['walk_executor(sink_42)', 'walk_executor(couch_352)', 'walk_executor(sink_42)', 'walk_executor(cat_
2055)', 'grab_executor(cat_2055)', 'walk_executor(sink_42)', 'putin_executor(cat_2055, sink_42)', 'w
alk_executor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(faucet_43)', 'switchon_executor(f
aucet_43)', 'wash_executor(cat_2055)', 'switchoff_executor(faucet_43)']","Time consume: 71 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 3
goal generate times: 3
goal correct times: 1
action_num: 13
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2
086)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 
'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(faucet_43)'
, 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 'switchoff_executor(faucet_43
)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing
_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_2074)', 'walk_executor(clothes_skirt_
2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(kitchen_counter_230)', 'put_executor(clo
thes_shirt_2086, kitchen_counter_230)', 'switchon_executor(faucet_232)', 'wash_executor(clothes_skir
t_2088)', 'switchoff_executor(faucet_232)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(iron
ing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'put_executor(clothes_skir
t_2088, ironing_board_2074)', 'push_executor(clothes_shirt_2086)', 'pull_executor(clothes_shirt_2086
)', 'push_executor(clothes_skirt_2088)', 'pull_executor(clothes_skirt_2088)', 'push_executor(clothes
_shirt_2086)', 'pull_executor(clothes_shirt_2086)', 'push_executor(clothes_skirt_2088)', 'pull_execu
tor(clothes_skirt_2088)']","Time consume: 425 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 3
goal generate times: 15
goal correct times: 3
action_num: 37
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(sink_42)', 'walk_executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executo
r(sink_42)', 'walk_executor(wallshelf_35)', 'walk_executor(sink_42)', 'walk_executor(closetdrawer_12
2)', 'walk_executor(sink_42)', 'walk_executor(closetdrawer_122)', 'walk_executor(sink_42)', 'walk_ex
ecutor(closetdrawer_122)', 'walk_executor(sink_42)', 'walk_executor(closetdrawer_122)', 'walk_execut
or(sink_42)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(sink_42)', 'walk_executor(clo
thes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(sink_42)', 'putin_executor(cl
othes_shirt_2086, sink_42)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)
', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 
'switchoff_executor(faucet_43)', 'walk_executor(ironing_board_2074)', 'walk_executor(sink_42)', 'put
in_executor(clothes_shirt_2086, sink_42)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(cloth
es_shirt_2086)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_
shirt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(iron_2089)', 'plugin_executor(iron_208
9)', 'switchon_executor(iron_2089)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shir
t_2086, ironing_board_2074)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(sink_42)', 'putin_
executor(clothes_shirt_2086, sink_42)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_
shirt_2086)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shi
rt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(ironing_board_2074)', 'put_executor(cloth
es_shirt_2086, ironing_board_2074)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(sink_42)', 
'putin_executor(clothes_shirt_2086, sink_42)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(c
lothes_shirt_2086)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clot
hes_shirt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(ironing_board_2074)', 'put_executo
r(clothes_shirt_2086, ironing_board_2074)']","Time consume: 307 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 3
goal generate times: 3
goal correct times: 0
action_num: 62
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(bed_105)', 'walk_executor(nightstand_102)', 'walk_executor(nightstand_100)', 'open_e
xecutor(nightstand_100)', 'walk_executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executor
(closetdrawer_122)', 'walk_executor(closetdrawer_122)', 'walk_executor(couch_352)', 'walk_executor(c
at_2055)', 'touch_executor(cat_2055)']","Time consume: 77 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 4
goal generate times: 1
goal correct times: 0
action_num: 11
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_
executor(kitchen_counter_119)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open
_executor(fridge_126)', 'grab_executor(food_potato_2107)', 'walk_executor(cutting_board_2123)', 'put
_executor(food_potato_2107, cutting_board_2123)', 'walk_executor(knife_2037)', 'grab_executor(knife_
2037)', 'walk_executor(food_potato_2107)', 'cut_executor(food_potato_2107)', 'walk_executor(stove_21
35)', 'open_executor(stove_2135)', 'walk_executor(food_potato_2107)', 'cut_executor(food_potato_2107
)', 'walk_executor(oven_127)', 'open_executor(oven_127)', 'walk_executor(food_potato_2107)', 'cut_ex
ecutor(food_potato_2107)', 'walk_executor(stovefan_125)', 'walk_executor(food_potato_2107)', 'cut_ex
ecutor(food_potato_2107)', 'walk_executor(kitchen_counter_122)', 'walk_executor(food_potato_2107)', 
'cut_executor(food_potato_2107)', 'walk_executor(oil_2013)', 'grab_executor(oil_2013)', 'walk_execut
or(fryingpan_2154)', 'putin_executor(oil_2013, fryingpan_2154)', 'grab_executor(fryingpan_2154)', 'w
alk_executor(stove_2135)', 'put_executor(fryingpan_2154, stove_2135)', 'switchon_executor(stove_2135
)', 'walk_executor(food_potato_2107)', 'grab_executor(food_potato_2107)', 'walk_executor(fryingpan_2
154)', 'putin_executor(food_potato_2107, fryingpan_2154)']","Time consume: 222 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 4
goal generate times: 1
goal correct times: 0
action_num: 40
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_101)', 'open_executor(bookshelf_101)', 'walk_executor(bookshelf_354)', 'op
en_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(
coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)', 'walk_executor(window_348)', 'ope
n_executor(window_348)']","Time consume: 67 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 1
goal correct times: 0
action_num: 10
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
