Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Write_an_email/g1.txt,Turn on the computer in home office.,"['walk_executor(computer_2110)', 'switchon_executor(computer_2110)']","Time consume: 15 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Make_coffee/g2.txt,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(table_123)', 'walk_executor(coffe_maker_147)', 'open_executor(coffe_maker_147)', 'wa
lk_executor(cup_2087)', 'grab_executor(cup_2087)', 'walk_executor(coffe_maker_147)', 'putin_executor
(cup_2087, coffe_maker_147)', 'close_executor(coffe_maker_147)', 'switchon_executor(coffe_maker_147)
', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk
_executor(milk_2074)', 'grab_executor(milk_2074)', 'walk_executor(cup_2087)', 'putin_executor(milk_2
074, cup_2087)', 'walk_executor(food_sugar_2070)', 'grab_executor(food_sugar_2070)', 'walk_executor(
cup_2087)', 'putin_executor(food_sugar_2070, cup_2087)']","Time consume: 52 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(powersocket_48)', 'walk_executor(ironing_board_2099)', 'walk_executor(powersocket_48
)', 'walk_executor(iron_2117)', 'plugin_executor(iron_2117)', 'switchon_executor(iron_2117)', 'walk_
executor(basket_for_clothes_2040)', 'walk_executor(powersocket_48)', 'walk_executor(clothes_skirt_21
16)', 'grab_executor(clothes_skirt_2116)', 'walk_executor(ironing_board_2099)', 'put_executor(clothe
s_skirt_2116, ironing_board_2099)', 'walk_executor(clothes_skirt_2116)', 'grab_executor(clothes_skir
t_2116)', 'wash_executor(clothes_skirt_2116)', 'walk_executor(faucet_134)', 'switchoff_executor(fauc
et_134)', 'walk_executor(iron_2117)', 'switchoff_executor(iron_2117)', 'plugout_executor(iron_2117)'
, 'put_executor(clothes_skirt_2116, ironing_board_2099)', 'plugin_executor(iron_2117)', 'switchon_ex
ecutor(iron_2117)']","Time consume: 246 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 21
goal correct times: 0
action_num: 23
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the sink. Use towel to dry my cat.,"['walk_executor(sink_307)', 'walk_executor(bed_376)', 'walk_executor(bed_264)', 'walk_executor(table
lamp_358)', 'walk_executor(sink_133)', 'walk_executor(faucet_134)', 'walk_executor(couch_192)', 'wal
k_executor(cat_2082)', 'grab_executor(cat_2082)', 'walk_executor(sink_133)', 'putin_executor(cat_208
2, sink_133)', 'walk_executor(cat_2082)', 'grab_executor(cat_2082)', 'walk_executor(faucet_134)', 's
witchoff_executor(faucet_134)', 'switchon_executor(faucet_134)', 'wash_executor(cat_2082)', 'switcho
ff_executor(faucet_134)', 'walk_executor(towel_rack_298)', 'walk_executor(sink_133)', 'putin_executo
r(cat_2082, sink_133)', 'walk_executor(towel_2083)', 'grab_executor(towel_2083)', 'walk_executor(fau
cet_134)', 'switchon_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'walk_executor(cat_208
2)', 'grab_executor(cat_2082)', 'put_executor(cat_2082, sink_133)', 'walk_executor(faucet_134)', 'sw
itchon_executor(faucet_134)', 'walk_executor(cat_2082)', 'grab_executor(cat_2082)', 'walk_executor(t
owel_2083)', 'put_executor(cat_2082, towel_2083)']","Time consume: 185 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 35
",1,Scene_id: 2
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,Syntax Error,"['walk_executor(bathroom_counter_306)', 'walk_executor(bathroom_cabinet_305)', 'open_executor(bathro
om_cabinet_305)', 'grab_executor(soap_2038)', 'walk_executor(sink_307)', 'putin_executor(soap_2038, 
sink_307)', 'walk_executor(faucet_308)', 'switchoff_executor(faucet_308)']","Time consume: 120 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 8
goal correct times: 0
action_num: 8
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(ironing_board_2099)', 'walk_executor(iron_2117)', 'plugin_executor(iron_2117)', 'swi
tchon_executor(iron_2117)', 'walk_executor(ironing_board_2099)', 'walk_executor(basket_for_clothes_2
040)', 'grab_executor(clothes_shirt_2114)', 'wash_executor(clothes_shirt_2114)', 'walk_executor(fauc
et_308)', 'switchoff_executor(faucet_308)', 'walk_executor(clothes_skirt_2116)', 'grab_executor(clot
hes_skirt_2116)', 'wash_executor(clothes_skirt_2116)', 'walk_executor(kitchen_counter_132)', 'put_ex
ecutor(clothes_shirt_2114, kitchen_counter_132)', 'switchoff_executor(faucet_134)', 'walk_executor(i
roning_board_2099)', 'walk_executor(clothes_shirt_2114)', 'grab_executor(clothes_shirt_2114)', 'walk
_executor(ironing_board_2099)', 'put_executor(clothes_shirt_2114, ironing_board_2099)', 'put_executo
r(clothes_skirt_2116, ironing_board_2099)', 'walk_executor(iron_2117)', 'grab_executor(iron_2117)']","Time consume: 158 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 24
","Keystate: k1 - Requires: 2 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash all the bowls and the plates with dishwasher,"['walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'walk_executor(curtain_392)', 'op
en_executor(curtain_392)', 'walk_executor(table_127)', 'walk_executor(table_123)', 'walk_executor(bo
wl_2095)', 'grab_executor(bowl_2095)', 'walk_executor(dishwasher_143)', 'putin_executor(bowl_2095, d
ishwasher_143)', 'walk_executor(bowl_2096)', 'grab_executor(bowl_2096)', 'walk_executor(dishwasher_1
43)', 'putin_executor(bowl_2096, dishwasher_143)', 'walk_executor(bowl_2097)', 'grab_executor(bowl_2
097)', 'walk_executor(dishwasher_143)', 'putin_executor(bowl_2097, dishwasher_143)', 'walk_executor(
plate_2105)', 'grab_executor(plate_2105)', 'walk_executor(dishwasher_143)', 'putin_executor(plate_21
05, dishwasher_143)', 'close_executor(dishwasher_143)', 'switchon_executor(dishwasher_143)']","Time consume: 92 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 24
",1,Scene_id: 2
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g5.txt,Fried a steak. Then cut it and put it on a plate.,"['walk_executor(kitchen_counter_129)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)'
, 'open_executor(fridge_140)', 'grab_executor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'p
utin_executor(food_steak_2042, fryingpan_2107)', 'walk_executor(stove_2090)', 'open_executor(stove_2
090)', 'walk_executor(fryingpan_2107)', 'grab_executor(fryingpan_2107)', 'walk_executor(stove_2090)'
, 'putin_executor(fryingpan_2107, stove_2090)', 'switchon_executor(stove_2090)', 'walk_executor(food
_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(cutting_board_2080)', 'put_executor(
food_steak_2042, cutting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(food_steak_204
2)', 'grab_executor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'putin_executor(food_steak_2
042, fryingpan_2107)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_exe
cutor(cutting_board_2080)', 'put_executor(food_steak_2042, cutting_board_2080)', 'walk_executor(wall
shelf_187)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(fryi
ngpan_2107)', 'putin_executor(food_steak_2042, fryingpan_2107)', 'walk_executor(food_steak_2042)', '
grab_executor(food_steak_2042)', 'walk_executor(cutting_board_2080)', 'put_executor(food_steak_2042,
 cutting_board_2080)', 'walk_executor(nightstand_262)', 'walk_executor(food_steak_2042)', 'grab_exec
utor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'putin_executor(food_steak_2042, fryingpan_
2107)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(cutting_b
oard_2080)', 'put_executor(food_steak_2042, cutting_board_2080)', 'walk_executor(bench_124)', 'walk_
executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'puti
n_executor(food_steak_2042, fryingpan_2107)', 'walk_executor(food_steak_2042)', 'grab_executor(food_
steak_2042)', 'walk_executor(cutting_board_2080)', 'put_executor(food_steak_2042, cutting_board_2080
)', 'walk_executor(stovefan_139)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)
', 'walk_executor(fryingpan_2107)', 'putin_executor(food_steak_2042, fryingpan_2107)', 'walk_executo
r(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(cutting_board_2080)', 'put_exe
cutor(food_steak_2042, cutting_board_2080)', 'walk_executor(dishwasher_143)', 'open_executor(dishwas
her_143)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(frying
pan_2107)', 'putin_executor(food_steak_2042, fryingpan_2107)', 'walk_executor(food_steak_2042)', 'gr
ab_executor(food_steak_2042)', 'walk_executor(cutting_board_2080)', 'put_executor(food_steak_2042, c
utting_board_2080)', 'walk_executor(knife_2036)', 'grab_executor(knife_2036)', 'walk_executor(food_s
teak_2042)', 'cut_executor(food_steak_2042)', 'walk_executor(kitchen_counter_132)', 'walk_executor(f
ood_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'putin_executor
(food_steak_2042, fryingpan_2107)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042
)', 'walk_executor(cutting_board_2080)', 'put_executor(food_steak_2042, cutting_board_2080)', 'walk_
executor(cupboard_130)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_e
xecutor(fryingpan_2107)', 'putin_executor(food_steak_2042, fryingpan_2107)', 'walk_executor(food_ste
ak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(cutting_board_2080)', 'put_executor(food
_steak_2042, cutting_board_2080)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'wa
lk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'p
utin_executor(food_steak_2042, fryingpan_2107)', 'walk_executor(food_steak_2042)', 'grab_executor(fo
od_steak_2042)', 'walk_executor(cutting_board_2080)', 'put_executor(food_steak_2042, cutting_board_2
080)', 'walk_executor(window_2109)', 'open_executor(window_2109)', 'walk_executor(food_steak_2042)',
 'grab_executor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'putin_executor(food_steak_2042,
 fryingpan_2107)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executo
r(cutting_board_2080)', 'put_executor(food_steak_2042, cutting_board_2080)', 'walk_executor(bookshel
f_260)', 'open_executor(bookshelf_260)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak
_2042)', 'walk_executor(fryingpan_2107)', 'putin_executor(food_steak_2042, fryingpan_2107)', 'walk_e
xecutor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(cutting_board_2080)', 'p
ut_executor(food_steak_2042, cutting_board_2080)', 'walk_executor(table_127)', 'walk_executor(food_s
teak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(fryingpan_2107)', 'putin_executor(food
_steak_2042, fryingpan_2107)', 'walk_executor(food_steak_2042)', 'grab_executor(food_steak_2042)', '
walk_executor(cutting_board_2080)', 'put_executor(food_steak_2042, cutting_board_2080)', 'walk_execu
tor(food_steak_2042)', 'grab_executor(food_steak_2042)', 'walk_executor(plate_2105)', 'put_executor(
food_steak_2042, plate_2105)']","Time consume: 485 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 138
","Keystate: k1 - Requires: 11 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Iron_clothes/g6.txt,"Iron the shirt and the skirt, and place them on the bed.","['walk_executor(bed_264)', 'walk_executor(ironing_board_2099)', 'walk_executor(nightstand_262)', 'wa
lk_executor(basket_for_clothes_2040)', 'grab_executor(clothes_shirt_2114)', 'wash_executor(clothes_s
hirt_2114)', 'walk_executor(faucet_308)', 'switchoff_executor(faucet_308)', 'walk_executor(clothes_s
kirt_2116)', 'grab_executor(clothes_skirt_2116)', 'wash_executor(clothes_skirt_2116)', 'walk_executo
r(kitchen_counter_132)', 'put_executor(clothes_shirt_2114, kitchen_counter_132)', 'switchoff_executo
r(faucet_134)', 'walk_executor(clothes_shirt_2114)', 'grab_executor(clothes_shirt_2114)', 'walk_exec
utor(bed_264)', 'put_executor(clothes_shirt_2114, bed_264)', 'put_executor(clothes_skirt_2116, bed_2
64)', 'walk_executor(iron_2117)', 'plugin_executor(iron_2117)', 'switchon_executor(iron_2117)', 'wal
k_executor(clothes_shirt_2114)', 'grab_executor(clothes_shirt_2114)', 'walk_executor(ironing_board_2
099)', 'put_executor(clothes_shirt_2114, ironing_board_2099)', 'walk_executor(clothes_shirt_2114)', 
'grab_executor(clothes_shirt_2114)', 'walk_executor(bed_264)', 'put_executor(clothes_shirt_2114, bed
_264)', 'grab_executor(clothes_skirt_2116)', 'walk_executor(ironing_board_2099)', 'put_executor(clot
hes_skirt_2116, ironing_board_2099)', 'walk_executor(clothes_skirt_2116)', 'grab_executor(clothes_sk
irt_2116)', 'walk_executor(bed_264)', 'put_executor(clothes_skirt_2116, bed_264)']","Time consume: 219 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 37
","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 6 steps
Keystate: k3 - Requires: 0 steps
Keystate: k4 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 2
